ref	verse
1CH 12:21	ពួកគេដឹកនាំកងទ័ពជួយព្រះបាទដាវីឌច្បាំងជាមួយពួកចោរ ពីព្រោះពួកគេសុទ្ធតែជាទាហានអង់អាច។ ក្រោយមកគេបានក្លាយជាមេបញ្ជាការលើកងទ័ពរបស់ព្រះបាទដាវីឌ។​
1CH 12:22	ជារៀងរាល់ថ្ងៃតែងតែមានអ្នកមកចុះចូលជាមួយព្រះបាទដាវីឌ រហូតដល់កងទ័ពព្រះបាទដាវីឌក្លាយជាកងទ័ពយ៉ាងធំ ដូចជាកងទ័ពរបស់ព្រះជាម្ចាស់ដែរ។
1CH 12:23	អ្នក​ដែល​បាន​មក​រួប‌រួម​ជា​មួយ​ព្រះ‌បាទ​ដាវីឌ នៅ​ក្រុង​ហេប្រូន ដើម្បី​ផ្ទេរ​រាជ​សម្បត្តិ​របស់​ព្រះ‌បាទ​សូល​ថ្វាយ​ព្រះ‌បាទ​ដាវីឌ ស្រប​តាម​បញ្ជា​របស់​ព្រះ‌អម្ចាស់។
1CH 12:24	ពីកុល‌សម្ព័ន្ធ​យូដា ទាហាន​ដែល​អាចកាន់​ខែល និង​កាន់​លំពែង ហើយ​ប្រុង​ប្រៀប​ខ្លួន​ចេញ​ទៅ​ច្បាំង​បាន មាន ៦, ៨០០នាក់។
1CH 12:25	ពី​កុល‌សម្ព័ន្ធ​ស៊ីម្មាន មាន ៧, ១០០​នាក់ ដែល​សុទ្ធ​តែ​ជា​វីរ‌ជន​ដ៏​ពូកែ​អង់‌អាច។
1CH 12:26	ពីកុលស្ព័ន្ធលេវី មាន៤, ៦០០នាក់សុទ្ធតែជាអ្នកចម្បាំង។
1CH 12:27	លោកយេហូយ៉ាដា ជាមេដឹកនាំនៃអំបូរអើរ៉ុន មានទាហាន៣, ៧០០នាក់ជាមួយគាត់។
1CH 12:28	​លោក​សាដុក ជា​យុវជន​ពូកែ​អង់‌អាច និង​មេ​បញ្ជា​ការ​ម្ភៃ​ពីរ​រូប​ទៀត ក្នុង​ក្រុម​គ្រួសារ​របស់​លោក។
1CH 12:29	ពី​កុល‌សម្ព័ន្ធ​បេន‌យ៉ាមីន​ ជាកុលសម្ព័ន្ធ​របស់​ព្រះ‌បាទ​សូល មាន​ទាហាន ៣, ០០០​នាក់។ ពួក​គេ​មួយ​ចំនួន​ធំ​នៅ​ស្មោះ​ត្រង់​នឹង​រាជ‌វង្ស​របស់​ព្រះ‌បាទ​សូល។
1CH 12:3	លោក​មេ‌ទ័ព​អហ៊ី‌អេស៊ើរ និង​លោក​​យ៉ូអាស់ ជា​កូន​របស់​លោក​សេម៉ា‌អា អ្នក​ស្រុក​គីបៀន។ លោក​យេស៊ាល និង​លោក​ពេលេត ជា​កូន​របស់​លោក​អាស‌ម៉ាវែត។លោក​បេរ៉ា‌កា លោក​យេហ៊ូ​ជា​អ្នក​ស្រុក​អាណា‌ថោត
1CH 12:30	ពី​កុល‌សម្ព័ន្ធ​អេប្រាអ៊ីម មាន ២០, ៨០០​នាក់​សុទ្ធ​តែ​ជា​វីរ‌ជន​ដ៏​ពូកែ​អង់‌អាច ហើយ​មាន​ឈ្មោះ​ល្បី​ក្នុង​ក្រុម​គ្រួសារ​របស់​ពួក​គេ​ផង។
1CH 12:31	ពីកុល‌សម្ព័ន្ធ​ម៉ាណា‌សេ​ចំនួន​ពាក់​កណ្ដាល មាន​ទាហាន ១៨, ០០០​នាក់ ជា​អ្នក​មក​ប្រកាស​អភិ‌សេក​ព្រះ‌បាទ​ដាវីឌ ជា​ព្រះ‌មហា‌ក្សត្រ។
1CH 12:32	ពី​កុល‌សម្ព័ន្ធ​អ៊ីសា‌ខារ មាន​មេ​បញ្ជា​ការ ២០០​នាក់ អ្នក​ទាំង​នោះ​សុទ្ធ​តែ​ចេះ​សម្គាល់​មើល​ពេល​វេលា ហើយ​ដឹង​ថា​តើ​ជន‌ជាតិ​អ៊ីស្រា‌អែល​ត្រូវ​ធ្វើ​ដូច​ម្ដេច​ខ្លះ។ ព្រមទាំងពល​ទាហាន​ដែល​នៅ​ក្រោម​បង្គាប់​របស់​ពួក​គេ។
1CH 12:33	ពី​កុល‌សម្ព័ន្ធ​សាប់យូ‌ឡូន មាន ៥០, ០០០​នាក់ ជា​ទាហាន​ដែល​បាន​ហ្វឹក‌ហាត់ សម្រាប់​ចេញ​ទៅ​ច្បាំង។ ពួក​គេ​ប្រដាប់​ដោយសាស្ត្រាវុធគ្រប់​ប្រភេទ ហើយ​មាន​ចិត្ត​មោះ‌មុត​ត្រៀម​ខ្លួន​ជា​ស្រេច ដើម្បី​ធ្វើ​សឹក​សង្គ្រាម។
1CH 12:34	ពីកុលសម្ព័ន្ធណែបថាលី មានមេដឹកនាំ១, ០០០នាក់ ព្រមទាំងមានពលទាហាន ៣៧, ០០០នាក់ ប្រដាប់ដោយខែលនិងលំពែង។
1CH 12:35	ពីកុលសម្ព័ន្ធដាន់ មាន២៨, ៦០០នាក់សុទ្ធតែអ្នកត្រៀមខ្លួនច្បាំង។
1CH 12:36	ពីកុលសម្ព័ន្ធអេស៊ើរ មាន៤០, ០០០នាក់ សុទ្ធតែអ្នកត្រៀមខ្លួនសំរាប់ធ្វើសឹកសង្រ្គាម។
1CH 12:37	នៅ​ខាង​កើត​ទន្លេ​យ័រដាន់ កុល‌សម្ព័ន្ធ​រូបេន កុល‌សម្ព័ន្ធ​កាដ និង​កុល‌សម្ព័ន្ធ​ម៉ាណា‌សេ​ចំនួន​ពាក់​កណ្ដាល​ទៀត មាន​ទាហាន​ទាំង​អស់ ១២០, ០០០​នាក់ ប្រដាប់​ដោយ​សាស្ត្រាវុធ​គ្រប់​ប្រភេទ។
1CH 12:38	អ្នក​ទាំង​នោះ​សុទ្ធ‌សឹង​ជា​ទាហាន​ដែល​ថ្នឹក​ខាង​ចម្បាំង។ ពួក​គេ​ធ្វើ​ដំណើរ​មក​ដល់​ក្រុង​ហេប្រូន ដោយ​ចិត្ត​ស្មោះ​សរ ដើម្បី​អភិសេក​ព្រះ‌បាទ​ដាវីឌ ជា​ព្រះ​មហា‌ក្សត្រ​លើ​ជន‌ជាតិ​អ៊ីស្រា‌អែល​ទាំង​មូល។ ជន‌ជាតិ​អ៊ីស្រា‌អែល​ឯ​ទៀតៗ​ក៏​ព្រម​ព្រៀង​គ្នា ដើម្បី​អភិសេកព្រះ‌បាទ​ដាវីឌ​ជា​ព្រះ‌មហា‌ក្សត្រ​ដែរ។
1CH 12:39	ពួក​គេ​ស្នាក់​នៅ​ក្រុង​ហេប្រូន ជា​មួយ​ព្រះ‌បាទ​ដាវីឌ​ចំនួន​បី​ថ្ងៃ ហើយ​បងប្អូន​របស់​ពួក​គេ​បាន​រៀបចំ​ជប់‌លៀង​ទទួល។
1CH 12:4	លោក​យីស‌ម៉ាយ៉ា អ្នក​ស្រុក​គីបៀន ជា​នាយ​ទាហាន​ដ៏​អង់‌អាច​ក្នុង​ចំណោម​ក្រុម​ទាំង​សាម‌សិប (និង​ជា​មេ​លើពួកគេ) លោក​យេ‌រេមី លោក​យ៉ាហា‌សៀល លោក​យ៉ូហាណាន លោក​យ៉ូសា‌បាដ​ជា​អ្នក​ក្រុង​កេដេ‌រ៉ា។
1CH 12:40	អស់​អ្នក​ដែល​ស្ថិត​នៅ​តំបន់​ជិត​ខាង​នោះ រហូត​ដល់​ទឹក​ដី​អ៊ីសា‌ខារ សាប់យូ‌ឡូន និង​ណែប‌ថាលី បាន​ដឹក​ស្បៀង​អាហារ​មក ដោយ​ផ្ទុក​លើ​ខ្នង​លា អូដ្ឋ លា​កាត់ និង​គោ គឺ​មាន​ម្សៅ ដំណាប់​ឧទុម្ពរ ទំពាំង‌បាយជូរ​ក្រៀម ស្រា​ទំពាំង‌បាយជូរ ប្រេង និង​សាច់​គោ សាច់​ចៀម យ៉ាង​ច្រើន​បរិបូរណ៍ ដ្បិត​ប្រជា‌ជន​អ៊ីស្រា‌អែល​ទាំង​មូល​មាន​ការជប់លៀងយ៉ាងធំក្រៃ។
1CH 12:5	លោកអេលូសាយ លោកយេរីម៉ូត លោកបាលា លោកសេម៉ារីយ៉ា លោកសេផាធា​ ជាអ្នកក្រុងហារូប
1CH 12:6	ពួកកូនចៅកូរ៉ាមានលោកអែលកាណា លោកអ៊ីសសាយ៉ា លោកអសារាល លោកយ៉ូអេស៊ើរ លោកយ៉ាសុបៀម
1CH 12:7	លោកយ៉ូអេឡា និងលោកសេបាឌា ជាកូនរបស់លោកយេរ៉ូហាំ ជាអ្នកស្រុកកេដោរ។
1CH 12:8	មានអ្នកខ្លះពីកុលសម្ព័ន្ធកាដ បានចាកចេញពីស្រុកទៅរស់នៅជាមួយព្រះបាទដាវីឌនៅទីរហោស្ថាន។ ពួកគេជាយុទ្ធជនស្ទាត់ជំនាញក្នុងសឹកសង្រ្គាម ជាអ្នកដែលអាចប្រើប្រាស់ ខែល និងលំពែង។ ពួកគេមានទឹកមុខគួរឲ្យស្ញែងខ្លាចដូចជាសត្វសឹង្ហ ហើយរហ័សដូចជាសត្វប្រើសនៅលើភ្នំ។
1CH 12:9	អ្នក​ទាំង​នោះ​មាន​លោក​អេ‌ស៊ើរ ជា​មេ​លើ​ពួក​គេ លោក​អូបា‌ឌា​ជា​មេ​ទី​ពីរ លោក​អេលាប​ជា​មេ​ទី​បី
1CH 13:1	ព្រះបាទដាវីឌបានប្រជុំពិភាក្សាជាមួយនឹងមេបញ្ជាការតូច ធំ ព្រមទាំអ្នកដឹកនាំទាំងអស់។​​
1CH 13:10	នៅពេលនោះសេចក្តីក្រោធរបស់ព្រះជាម្ចាស់ក៏បានទាស់ឮនឹងលោក ហើយបានប្រហារជីវិតលោក ដោយព្រោះលោកបានយកដៃទៅពាល់ហិប ពេលនោះគាត់ក៏បាត់បង់ជីវិតនៅចំពោះព្រះជាម្ចាស់។
