[P, G] إسا[L]إسا|[P, G] إِسَّا[L]إِسَّا	<ol style="listStyleType: circle;"><li style="">now, just now                                                         ;in Iraq this is said هَسَّا[pronunciation: [P, G] ʔissa]</li></ol>
أحال|أَحَاْل	<ol style="listStyleType: circle;"><li style="">to transfer (ه = s.th.)</li> <li style="">to refer (ه = s.o. ل = to)</li></ol>
أحب|أَحَبّ	<ol style="listStyleType: circle;"><li style="">more / most loved</li></ol>
أحد|أَحَد	<ol style="listStyleType: circle;"><li style="">one                       ;[pronunciation: ʔaḥad]</li> <li style="">يوم الأحد : Sunday (often shortened to الأحد)                                                                               ;(note that in some dialects of Lebanon it is said laḥad)[pronunciation: ʔaḥad]</li> <li style="">unit</li></ol>
أحدب|أَحدَب	<ol style="listStyleType: circle;"><li style="">hunchbacked                                                                                         ;(the word مْحَرْدِب is more common in some dialects);[pronunciation: ʔaḥdab،ḥudᵒb،ḥadba]</li> <li style="">hunchback (noun)                                   [pronunciation: ʔaḥdab،ḥudᵒb،ḥadba]</li></ol>
أحدث|أَحدَث	<ol style="listStyleType: circle;"><li style="">more / most up-to-date, modern                        ;[pronunciation: ʔaḥdaθ]</li></ol>
أحدث|أَحْدَث	<ol style="listStyleType: circle;"><li style="">moderner / modernest</li> <li style="">to cause, produce (ه = s.th.)</li></ol>
أحدق|أَحدَق	<ol style="listStyleType: circle;"><li style="">cleverer, cleverest, sharper, sharpest                        ;[pronunciation: ʔaḥdaq]</li></ol>
أحرج|أَحرَج	<ol style="listStyleType: circle;"><li style="">to embarrass (ه = s.o.)                        ;[pronunciation: ʔaḥrɑj]</li></ol>
أحرز|أَحرَز	<ol style="listStyleType: circle;"><li style="">to be worth (ه = s.th., e.g. the effort, time, energy, etc.)                                                                                                      ;(this is mainly used in the present tense with ب and as a participle);[pronunciation: ʔaḥraz، yiḥrez]</li></ol>
أحرى|أَحرَى	<ol style="listStyleType: circle;"><li style="">more appropriate, adequate, worthy (ب = of)                                                                                               ;(in colloquial used mainly in the phrase بالأحرى, see examples);[pronunciation: ʔɑḥrɑ / ʔaḥrɑ]</li></ol>
أحسن|أَحسَن	<ol style="listStyleType: circle;"><li style="">better, best, finer / finest                                                                                                                                                                                                                                                                                                                                               ;(although this is grammatically the comparative / superlative form of حَسَن, from a usage perspective in colloquial it is more accurate to say that it is the superlative comparative form of مْنِيح or مْلِيح . The wordحَسَنis reserved mainly for more formal speech);(the feminine form is mainly used in fixed phrases from CA);[keyword]</li> <li style="">(more examples) : better, best, finer / finest         [keyword]</li> <li style="">better, best, finer / finest (examples in superlative form)         [keyword]</li> <li style="">better, best, finer / finest (examples in comparative form)</li> <li style="">better, best, finer / finest (examples in post form)</li> <li style="">أَحْسَن + جملة أو فعل بدون علامة : it's best to, it's best that          ;[keyword]</li> <li style="">better, best, finer / finest (examples with feminine)                             [pronunciation: ʔaḥsan،ḥusna]</li> <li style="">to do well (ه = s.th.)                                ;[pronunciation: ʔaḥsan، yuḥsen]</li> <li style="">to do a favor                                ;[pronunciation: ʔaḥsan، yuḥsen]</li></ol>
أحصى|أَحصَى	<ol style="listStyleType: circle;"><li style="">to count, enumerate (ه = s.th.)                                                                           ;(This is mainly CA. One may also hear حَصَى);[pronunciation: ʔɑḥṣɑ، yeḥṣy]</li></ol>
أحلس|أَحْلَس	<ol style="listStyleType: circle;"><li style="">smooth, fine         ; (أملس);</li></ol>
أحلط|أَحْلَط	<ol style="listStyleType: circle;"><li style="">one who has no hair on his head or chin                                   ; (مَن لا شَعْرَ في راسه أو ذقنه );</li> <li style="">one who shaves his mustache                    ; (مَن يحلق شاربيه);</li></ol>
أحلى|أَحلَى	<ol style="listStyleType: circle;"><li style="">sweeter / sweetest                       ;[pronunciation: ʔaḥla]</li> <li style="">more / most beautiful, nice, pleasant                       ;[pronunciation: ʔaḥla]</li> <li style="">better / best                       ;[pronunciation: ʔaḥla]</li></ol>
أحمد زكي|أَحْمَد زَكِي	<ol style="listStyleType: circle;"><li style="">Egyptian actor (1949 - 2005), considered handsome.</li></ol>
أحمر|أَحمَر	<ol style="listStyleType: circle;"><li style="">red (also ruddy)                                             ;[pronunciation: ʔaḥmɑr،ḥumᵒr،ḥamrɑ][keyword]</li> <li style="">red (noun) (also as اللَوْن الأَحْمَر، ج أَلْوَانحِمِر)                                   [pronunciation: ʔaḥmɑr،ḥumᵒr،ḥamrɑ]</li></ol>
أحمض|أَحمَض	<ol style="listStyleType: circle;"><li style="">sourer, sourest                         ;[pronunciation: ʔ¡aḥmɑḍ]</li> <li style="">more / most acidic                         ;[pronunciation: ʔ¡aḥmɑḍ]</li></ol>
أحمق|أَحْمَق	<ol style="listStyleType: circle;"><li style="">stupid                          [pronunciation: [S] ق = ء]</li></ol>
أحمى|أَحمَى	<ol style="listStyleType: circle;"><li style="">hotter / hottest (for materials that can be heated to very temperatures, such as iron, oil, etc.)                       ;[pronunciation: ʔaḥma]</li></ol>
أحول|أَحوَل	<ol style="listStyleType: circle;"><li style="">cross-eyed, squint-eyed                                 ;[pronunciation: ʔaḥwal،ḥūl،ḥōla]</li> <li style="">person who is cross-eyed, who has a squint                                 ;[pronunciation: ʔaḥwal،ḥūl،ḥōla]</li></ol>
أحيا|أَحْيَا	<ol style="listStyleType: circle;"><li style="">to stage, put on (ه = party, etc.)</li></ol>
أحيانا|أَحيَانًا	<ol style="listStyleType: circle;"><li style="">sometimes                           ;[pronunciation: ʔaḥyānan˜]</li></ol>
أخ|أَخ	<ol style="listStyleType: circle;"><li style="">a sound made in distress and wishing                                                ; (كلمة تحسُّر وتمنِّي، يقولون أَخ على مية ليرة)</li></ol>
أخ|أَخّ	<ol style="listStyleType: circle;"><li style="">peer, equal, other half (used as a comparison to another masculine noun, see example)                                     ;[pronunciation: ʔaḵḵ،ʔiḵwe / ʔiḵwān]</li> <li style="">brethren, brotherhood, brothers                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;(the plural form إخوة differs from إخوان because the latter refers to brothers in the wider sense of the word, as in one's friends, colleagues and fellow men; or one's fellow believers in a religion or ideology; or one's fellow members of a union / organizations; or business titles, formal names.);(The formأَخُوis used with a following pronoun suffix. But the form my brother can be أَخِي or in some regions أَخُوْيَا )[pronunciation: ʔaḵḵ،ʔiḵwe / ʔiḵwān]</li> <li style="">brothers, male siblings                                                                                                                                                                                                       ;note the following conjugation with suffix pronouns (Palestinian):ʔixᵉwtiʔixᵉwtakʔixᵉwtekʔixᵉwtoʔixwethaʔixwetnaʔixwetkom / ʔixwetkuʔixwethom / ʔixwethen[pronunciation: ʔaḵḵ،ʔiḵwe / ʔiḵwān][keyword]</li> <li style="">common form of address and reference to a man, it can be polite and casual like hey brother, hey man                                     ;[pronunciation: ʔaḵḵ،ʔiḵwe / ʔiḵwān]</li></ol>
