#desc	English to Khmer Dictionary from <a href="https://play.google.com/store/apps/details?id=com.sonveasna.dictionary&hl=en">English Khmer Dictionary</a> by DroidSVS
#priority	2
#en	ipa	khph	desc	tags
ability	ə'bɪlətɪ	អឹ' ប៊ីឡឹធី	<ul><li><p-n>(noun)</p-n>~ <p-n>(to do sth)</p-n><p-l> @បំណិន, ការប៉ិន, សម្បទា, សម្ថភាព</p-l> to the best of my ability <p-n>(=as well as i can)</p-n><p-l> @អោយបានល្អបំផុតដែលឬ អាចធ្វើបាន</p-l> <p-n>(opposite)</p-n>inability</li></ul>Synonyms <ul><li>ability <p-n>(noun)</p-n><p-l> @បំណិន, ការប៉ិន, សម្បទា, សម្ថភាព</p-l> aptitude <p-l>@សម្បទា</p-l> capacity <p-l>@តំណែង, ចំណុះ, សម្ថភាព</p-l> competence<p-l> @សម្ថភាព,&nbsp;សម្ថកិច្ច, សមត្ថកម្ម </p-l>faculty<p-l> @ញាណសក្តិ (កម្លាំងកាយ ឬចិត្ត), ឥន្រ្តីយ៍, លក្ខណះ, អំណាច, សេចក្តីអង់អាច</p-l> skill <p-l>@ជំនាញការ, ការប៉ិនប្រសប់</p-l> talent <p-l>@បញ្ញា, រូបវត្តុ, ក្រិកបុរាណមួយបែប</p-l> </li></ul>	noun
abinitio	,æbɪ'nɪʃɪəʊ	,អ៊ែ 'ប៊ីនីស្ហ៊ីយ៉ូ	<ul><li><p-n>(adverb)</p-n><p-l> @ពីការចាប់ផ្តើម, តាំងពីដើម</p-l></li></ul>	adverb
abiological	,æbaɪ'ɔlɔdʒɪkl	,អ៊ែបាយ 'អក់ឡក់ដ្យីខល	<ul><li><p-n>(adjective)</p-n><p-l> @ដែលសិក្សាពីវត្ថុគ្មានជីវិត</p-l></li></ul>	adjective
abirritant	ə'bɪrɪtən	'អឹប៊ីរីថឹនថ៍	<ul><li><p-n>(adjective)</p-n><p-l> @ដែលព្យាបាលរោគរមាស់</p-l></li></ul>	adjective
abirritate	ə'bɪrɪ'teɪt	អឹ 'ប៊ីរី 'ថេត	<ul><li><p-n>(verb)</p-n><p-l>@សងសឹក, ចងគុំនុំ</p-l></li></ul>	verb
abject	'æbdʒekt	អ៊ែបដ្យេដថ៍	<ul><li><p-n>(adjective)</p-n><p-l> @ដ៏ទាបបំផុត, ដែលអន់, តោកយ៉ាក</p-l><br/> ~ apologies <p-l>@ដែលដាក់ខ្លួនហូសពេក</p-l><br/> ~ despair<p-l> @ដែលគ្មានទឹកចិត្តបន្តិចសោះ</p-l><br/> ~ submission<p-l> @ដែលខ្វះភាពម្ចាស់ការ</p-l><br/> ~ poverty <p-l>@ទុគ៌ត, ដ៏ទាបបំផុត</p-l></li></ul>	adjective
abjectly	,æbdʒektlɪ	អ៊ែបដ្យេដធ្លី	<ul><li><p-n>(adverb)</p-n><p-l> @យ៉ាងថោកទាប, យ៉ាងយាប់យ៉ឺន</p-l></li></ul>	adverb
abjectness	'æbdʒektnəs	អ៊ែបដ្យេដថ្នឹស	<ul><li><p-n>(noun)</p-n><p-l>@ភាពអន់, ភាពតោកយ៉ាក</p-l></li></ul>	noun
abjudicate	'æbdʒʊədɪkeɪt	' អឹបដ្យួឌិខេត	<ul><li><p-n>(verb)</p-n><p-l>@កាត់ទោស, សំរេចទោស</p-l></li></ul>	verb
abjuration	'æbdʒʊə'reɪʃn	'អ៊ែបដ្យួ 'រ៉េយ៍ស្ហឹន	<ul><li><p-n>(noun)</p-n><p-l> @ការលែងលះ, ការលះបង់, ការបញ្ឈប់, ការសច្ចារលះបង់, ការបដិសេធចោល ឬការបោះបង់ធ្វើអ្វីតាមរយះការធ្ចើសច្ចាប្រណិធាន</p-l></li></ul>	noun
abjure	ə'bdʒʊə(r)	អឹប 'ដ្យួ(រ)	<ul><li><p-n>(transitive verb)</p-n><p-l> @លះបង់, លែងលះ, បង្ខិតបង្ខំអោយបោះបង់</p-l></li><li>abjuration /'&aelig;bdʒʊə'reɪʃn/ <p-l>@['អ៊ែបដ្យួ 'រ៉េយ៍ស្ហឹន]</p-l> <p-n>(noun)</p-n><p-l> @ការលែងលះ, ការលះបង់, ការបញ្ឈប់, ការសច្ចារលះបង់, ការបដិសេធចោល ឬការបោះបង់ធ្វើអ្វីតាមរយះការធ្ចើសច្ចាប្រណិធាន </p-l></li></ul>	transitive verb
ablate	æb'leɪt	អ៊ែប' ឡេត	<ul><li><p-n>(transitive verb)</p-n><p-n>(itransitive verb)</p-n><ol><li><p-l> @វះកាត់យកចេញ, កាត់ចោល, យកទៅបាត់ </p-l></li><li><p-n>(geology)</p-n><p-l> @យកចេញ </p-l></li><li> <p-n>(space)</p-n>.<p-l> @ឆេះ (ក្បាលកាំជ្រួច </p-l></li></ol></li></ul>	transitive verb
ablation	ə'bleɪʃn	អឹ ' បៀ្លស្ហឹន	<ul><li><p-n>(noun)</p-n><ol><li> <p-l>@ការវះកាត់យកចេញ, ការកាត់ចោល, ការយកទៅបាត់ </p-l></li><li> <p-n>(geology)</p-n><p-l> @ការយកចេញ </p-l></li><li> <p-n>(space)</p-n>.<p-l> @ការឆេះ (ក្បាលកាំជ្រួច) </p-l>a. shield<p-l> @ខែលឬគំរបធ្វើពីបន្ទះកញ្ចក់ </p-l></li></ol></li></ul>	noun
ablative	'æbletɪv	'អ៊ែបឡឹធីវ	<ul><li><p-n>(noun)</p-n><p-l>@ទំរង់ពិសេសរបស់(នាម, សព្វនាម, គុណនាម)</p-l></li></ul>	noun
ablaut	'æblaʊt	អ៊ែ 'ប្លៅថ៍	<ul><li><p-n>(noun)</p-n><p-l>@ការធ្វើអោយស្រះផ្លាស់សម្លេង</p-l></li><li><p-n>(transitive verb)</p-n>.<p-l> @ធ្វើអោយស្រះផ្លាស់សម្លេង </p-l></li></ul>	noun
ablaze	'əbleɪz	អ៊ែ ' ប្លេហ្ស	<ul><li><p-n>(adjective)</p-n><ol><li><p-l> @ដែលក្រហមង៉ូវ, ដែលឆេះទ្រគោល, ដែលឆេះសន្ធោសន្ធៅ </p-l></li><li>&nbsp;<br/> ~ with sth <p-n>(a)</p-n><p-l> @ដែលត្រចះត្រចង់និង គួរអោយគយគន់​</p-l> <p-n>(b)</p-n><p-l> @ដែលរំភើប</p-l> <p-n>(-noun)</p-n>​. <p-l>@ភ្លើងឆេះសន្ធោសន្ធៅ​</p-l> ablaze with flowers <p-l>@ផ្ការក្រហមឆ្អៅ</p-l> </li></ol></li><li>ablazely <p-n>(adjective)</p-n><p-l> @ដោយឆេះទ្រគោល</p-l></li></ul>	adjective
ablazely			<ul><li>&nbsp;<p-n>(adjective)</p-n>. <p-l>@ដោយឆេះទ្រគោល</p-l></li></ul>	adjective
able (1)	'eɪbl	'អេយ៍បល	<ul><li><p-n>(adjective)</p-n>be ~ to do sth<p-l> @ដែលមានសម្ថភាព, ដែលឆ្លាតវៃ</p-l> i wan't able to go<p-l> @ខ្ញុំទៅមិន​បាន</p-l> he isn't able to walk<p-l> @គាត់ដើរមិនកើត</p-l> <p-n>(opposite)</p-n>unable</li></ul>	adjective
able (2)	'eɪbl	'អេយ៍បល	<ul><li><p-l>@(adjective). (-r /'eɪblə(r)/ ; -st /'eɪblɪst/ ) ដែលឆ្លាតហើយប៉ិនប្រសប់</p-l></li><li>ably /'eɪblɪ/<p-l> @[អេប្លី]</p-l> <p-n>(adverb)</p-n>.<p-l> @បែបឬរបៀបមានសម្ថភាព, ប្រកបដោយសម្ថភាព, យ៉ាងមានសម្ថភាព </p-l></li></ul>	adjective
ablutionary			<ul><li> <p-n>(adjective)</p-n><p-l> @ដែលធ្វើពិធីស្រោចទឹក, ដែលធ្វើពីធីជំរះកាយខ្លួនឯង</p-l> <p-n>(literary)</p-n><p-l> @ដែលធ្វើស្នានពិធី</p-l></li></ul>	adjective
ablutions	ə'blu:ʃnz	អឹ ' ប្លូមស្ហឹនហ្ស៍	<ul><li><p-n>(noun)</p-n><p-n>(plural)</p-n>1<p-l> @ពិធីស្រោចទឹក, ដារដុសលាង ឬ សំអាតខ្លួន</p-l> <p-n>(literary)</p-n><p-l>@ស្នានពិធី </p-l>2 <p-l>@បន្ទប់លុបលាង</p-l></li><li>ablutionary <p-n>(adjective)</p-n><p-l> @ដែលធ្វើពិធីស្រោចទឹក, ដែលធ្វើពីធីជំរះកាយខ្លួនឯង</p-l> <p-n>(literary)</p-n><p-l> @ដែលធ្វើស្នានពិធី </p-l></li></ul>	noun
ably	'eɪblɪ	អេប្លី	<ul><li><p-n>(adverb)</p-n><p-l> @យ៉ាងអង់អាច, យ៉ាងមានសម្ថភាព</p-l></li></ul>	adverb
ably	'eɪblɪ	អេប្លី	<ul><li><p-n>(adverb)</p-n><p-l> @បែបឬរបៀបមានសម្ថភាព, ប្រកបដោយសម្ថភាព, យ៉ាងមានសម្ថភាព</p-l></li></ul>	adverb
ably-bodied	'eɪblɪ-bəʊdɪd	អេប្លី-បូឌិដ	<ul><li><p-l>@(adjective). ដែលមាសរីរាង្គមាំមួន, ដែលមានសុខភាពបរិបូរណ៍</p-l></li></ul>	adjective
ABM			<ul><li><p-n>(abbreviation)</p-n>Anti -Ballistic -Missile<p-l> @មិស៊ីលប្រឆាំង, មិស៊ីលកំណត់ទិសដៅ</p-l></li></ul>	abbreviation
abnegate	'æbnɪgeɪt	អ៊ែមនិ' ហ្កេយ៍	<ul><li><p-n>(transitive verb)</p-n><p-l> @លះបង់សិទិ្ធ, ដកហូត, ដកខ្លួនចេញ, ធ្វើពលីកម្មលះបង់, បោះបង់, ក្រឡេកគេចកែ</p-l></li></ul>	transitive verb
abnegation	,æbnɪ'geɪʃn	អ៊ែមនិ' ហ្កេយ៍ស្ហឹន	<ul><li><p-n>(noun)</p-n><p-l> @ការលះបង់ចោល, ការដកហូត, ការលះបង់សិទ្ធិ, ការដកខ្លួនចេញ, ការប្រកែក, ការបដិសេធ, ការកាត់កាល</p-l></li></ul>	noun
abnormal	æb'nɔ:ml	,អ៊ែប' ណមល	<ul><li><p-n>(adjective)</p-n><p-l> @ប្លែកពីធម្មតា, មិនប្រក្រតី, ល្ងីល្ងើ, វិកលចរិត, ខុសធម្មតា</p-l></li><li>abnormality /,&aelig;bnɔ:'m&aelig;lətɪ/<p-l> @[អ៊ែបណ 'មែឡឹធី]</p-l> <p-n>(noun)</p-n><p-l> @ភាពប្លែកពីធម្មតា</p-l> abnormaly /&aelig;b'nɔ:məlɪ/<p-l> @[អ៊ែប' ណមលី]</p-l> <p-n>(adverb)</p-n><p-l> @ដូចជាខុសប្លែកពីធម្មតា, យ៉ាងមិនប្រក្រតី,&nbsp;ប្លែកពីធម្មតា, បែបវិកលចរិត </p-l></li></ul>	adjective
abnormality	,æbnɔ:'mælətɪ	អ៊ែបណ 'មែឡឹធី	<ul><li>&nbsp;<p-n>(noun)</p-n>.<p-l> @ភាពប្លែកពីធម្មតា</p-l></li></ul>	noun
abnormaly	æb'nɔ:məlɪ	អ៊ែប' ណមលី	<ul><li>&nbsp;<p-n>(adverb)</p-n><p-l> @ដូចជាខុសប្លែកពីធម្មតា, យ៉ាងមិនប្រក្រតី,&nbsp;ប្លែកពីធម្មតា, បែបវិកលចរិត</p-l></li></ul>	adverb
abnormity	æb'nɔ:məti:	អ៊ែបណ' មែធី	<ul><li><p-n>(noun)</p-n><p-n>(plural. ies)</p-n><p-l>@&nbsp; ភាពខុសប្រក្រតី, ភាពខុសពីធម្មតា</p-l></li></ul>	noun
abnormous	æb'nɔ:məs	អ៊ែប 'ន័ម៉ឺស	<ul><li><p-n>(adjective)</p-n><p-l> @ដែលមានរាងកាយចំឡែកខុសប្លែកពីធម្មតា</p-l></li></ul>	adjective
aboard	ə'bɔ:d	អឹ 'បដ	<ul><li><p-n>(adverb)</p-n><p-l> @នៅលើ ឬ នៅក្នុង(នាវា ។ល។) </p-l><p-n>(preposition)</p-n><p-l> @លើ (នាវា, រថភ្លើង ។ល។)</p-l> get aboard <p-n>( a ship)</p-n><p-l> @ចុះ</p-l> get aboard <p-n>(a plane)</p-n><p-l> @ឡើង all aboard កប៉ាល់/ឡានចេញឥឡូវហើយ</p-l> close aboard<p-l> @ក្បែរ, ជិត, ទាប</p-l></li></ul>	adverb
abode (1)	ə'bəʊd	អឹ 'បូដ	<ul><li><p-n>(noun)</p-n><p-l> @លំនៅឋាន, ផ្ទះ </p-l>to take up <p-n>(make)</p-n>one's abode<p-l> @ស្នាក់អាស្រ័យនៅ, តាំងលំនៅ</p-l></li></ul>	noun
abode (2)	ə'bəʊd	អឹ 'បូដ	<ul><li><p-n>(transitive verb)</p-n><p-l> @នៅ, រស់នៅមានលំនៅ</p-l></li></ul>	transitive verb
abolish	ə'bɑlɪ	' អឹបូលិស្ហ	<ul><li><p-n>(transitive verb)</p-n>~ a law<p-l> @លុបចោល</p-l> <p-n>(literary)</p-n><p-l> @ធ្វើនិរាក្រិតិ </p-l><br/>~ slavery<p-l> @បំបិទលែងអោយមាន</p-l></li><li>abolition /,&aelig;bə'lɪʃn/<p-l> @[,អ៊ែបឹ' លិស្ហឹន] </p-l><p-n>(noun)</p-n><p-l> @ការបំបិទលែងអោយមាន, ការលុបចោល, ការបំផ្លាញចោល, ការកំទេចចោល </p-l><p-n>(literary)</p-n><p-l> @និរាក្រិតិ</p-l></li></ul>Synonyms<ul><li>abolish <p-n>(verb)</p-n><p-l>@លុបចោល, បំបិទ</p-l> eradicate <p-l>@បំបាត់, រំលាយចោល, ដកឬស, បំផ្លាញ</p-l> exterminate<p-l> @បំផ្លិចបំផ្លាញ, បំផ្លាញអស់, ធ្វើអោយសូន្យ</p-l> extinguish<p-l> @ពន្លត់, ធ្វើអោយរលត់, ធ្វើអោយលែងមាន, លត់, រម្ងាប់</p-l> extirpate<p-l> @ដកឬស, បំផ្លាញចោលអស់</p-l> obliterate <p-l>@លុបឬបន្សឹកបន្តិចម្តងៗ, ផ្តិតលើ, បោះត្រាលើ</p-l> </li></ul>	transitive verb
abolishment	ə'bɔlɪʃmən	អឹ ' បលីស្ហម៉ឹនថ៍	<ul><li><p-n>(noun)</p-n><p-l> @ការលុបចោល, ការឃាត់, បញ្ឈប់ដំនើរ(ឈាម), ការបំបិទចោល, ការបំបាត់ចោល, ការដកចោល</p-l></li></ul>	noun
abolitionist	,æbə'lɪʃənɪst	,អ៊ែបឹ ' លីស្ហឹនិសថ៍	<ul><li><p-n>(noun)</p-n><p-l> @អ្នកដែលឃើញគួរអោយលើកលែងទោសពីទាសករ, អ្នកលុបចោល។ល។</p-l> <p-n>(literary)</p-n><p-l>@និរាក្រតិជន</p-l></li></ul>	noun
abomasum	,æbə'meɪsəm	,អ៊ែប ' ម៉េហ្សឹម	<ul><li><p-n>(noun)</p-n><p-n>(plural. abomasa)</p-n><p-l> @បន្ទប់ (រឺថត) ទីបួនរបស់ក្រពះសត្វទំពាអៀង </p-l></li></ul>	noun
abominable	ə'bɑmɪbl	អឹ ' បមិណឹបល	<ul><li><p-n>(adjective)</p-n><ol><li>~ <p-n>(to sb)</p-n><p-l> @គួរអោយស្អប់ខ្ពើម </p-l></li><li><p-l>@ដ៏អាក្រក់, ដ៏អន់</p-l> Today, the weather is abominable<p-l> @ថ្ងៃនេះអាកាសធាតុអាក្រក់ណាស់</p-l></li></ol></li><li>Abominable Snowman <p-n>(=yeti)</p-n><p-n>(noun)</p-n><p-l>@សត្វធំម្យ៉ាងដូចជាមនុស្ស ឬខ្លាឃ្មុំដែលគេជឿថាវាមានរស់នៅភ្នំហិម៉ាឡៃ</p-l> </li></ul>	adjective
Abominable Snowman (=yeti)			<ul><li><p-n>(noun)</p-n><p-l> @សត្វធំម្យ៉ាងដូចជាមនុស្ស ឬខ្លាឃ្មុំដែលគេជឿថាវាមានរស់នៅភ្នំហិម៉ាឡៃ</p-l></li></ul>	noun
abominate	ə'bɑmɪneɪt US -mən-	អឹ ' បមិណេត	<ul><li><p-n>(transitive verb)</p-n><p-l>@ស្អប់ណាស់, ខ្ពើមណាស់</p-l></li><li>abomination /,əbɑmɪ'neɪʃn US mən/<p-l> @[អឹ,បមិ 'ណេយ៍ស្ហឹន]​</p-l> <p-n>(noun)</p-n><p-l> @របស់ឬអំពើគួរអោយស្អប់, ការស្អប់ខ្ពើម</p-l></li><li>aboriginal /,&aelig;bə'rɪdʒənl/<p-l> @[,អ៊ែបឹ ' រិដ្យឹណល]​</p-l> <p-n>(adjective)</p-n><p-l> @នៃអ្នកស្រុកដើម</p-l> <p-n>(noun)</p-n><p-l> @អ្នកស្រុកដើម</p-l></li></ul>	transitive verb
abomination	,əbɑmɪ'neɪʃn US mən	អឹ,បមិ 'ណេយ៍ស្ហឹន	<ul><li>&nbsp;<p-n>(noun)</p-n><p-l> @របស់ឬអំពើគួរអោយស្អប់, ការស្អប់ខ្ពើម</p-l></li></ul>	noun
aboriginal	,æbə'rɪdʒənl	,អ៊ែបឹ ' រិដ្យឹណល	<ul><li><p-n>(adjective)</p-n>.<p-l> @នៃអ្នកស្រុកដើម</p-l>​ <p-n>(noun)</p-n><p-l> @អ្នកស្រុកដើម</p-l></li></ul>	adjective
aboriginal	,æbə'rɪdʒənl	,អ៊ែបឹ ' រិដ្យឹណល	<ul><li><p-n>(adjective)</p-n>. <p-l>@នៃអ្នកស្រុកដើម</p-l> <p-n>(noun)</p-n><p-l> @អ្នកស្រុកដើម</p-l></li></ul>	adjective
aboriginess	,æbə'rɪdʒəni:z	,អ៊ែបឹ ' រិដ្យឹនី	<ul><li><p-n>(noun)</p-n><p-l> @អ្នកស្រុកដើម(អ្នកដែលនៅក្នុងប្រទេសណាមួយមុនគេបង្អស់) </p-l><p-n>(literary)</p-n><p-l> @រដ្ឋវេសី</p-l></li></ul>	noun
abort	ə'bɔ:t	អឹ ' បតថ៍	<ul><li><p-n>(intransitive verb)</p-n><ol><li>women ~<p-l> @រលូតកូន</p-l><br/></li><li>plan as ~ <p-l>@មិនបានសម្រេច</p-l></li></ol></li><li><p-n>(transitive verb)</p-n><ol><li>~ a child<p-l> @ពន្លូត</p-l><br/></li><li>~ a plane <p-l>@មិនអនុវត្ត, បដិសេធ</p-l></li></ol></li><li>aborted /ə'bɔ:tɪd/<p-l> @[អឹ ' ប៊័ធីដ]</p-l> <p-n>(adjective)</p-n><p-l>@ដែលរលូតកូន, ដែលមិនរីកចំរើន </p-l></li></ul>	intransitive verb
aborted	ə'bɔ:tɪd	អឹ ' ប៊័ធីដ	<ul><li>&nbsp;<p-n>(adjective)</p-n><p-l> @ដែលរលូតកូន, ដែលមិនរីកចំរើន</p-l></li></ul>	adjective
abortifacient	ə'bɔ:tɪfeɪʃənt	អឹ ' ប៊័រធីហ្វ៊េស្ហឹន	<ul><li><p-n>(adjective)</p-n><ol><li><p-l>@ដែលធ្វើអោយរលូតកូន, វត្ថុដែលធ្វើអោយរលូតកូន </p-l></li><li> <p-n>(noun)</p-n><p-l> @អ្វីៗដែលបណ្តាលអោយរលួតកូន </p-l></li></ol></li></ul>	adjective
abortion	ə'bɔ:ʃn	អឹ ' បស្ហឹន	<ul><li><p-n>(noun)</p-n><ol><li><p-l> @ការពន្លូតកូន, ការមិនបានសំរេចដូចបំណង </p-l></li><li> ~ of a plan<p-l> @ការមិនអនុវត្ត(ផែនការ), ការបដិសេធ</p-l></li></ol></li><li>abortionist /ə'bɔ:ʃnɪst/<p-l> @[អឹ ' បស្ហឹនីសថ៍] </p-l><p-n>(noun)</p-n><p-l> @អ្នកពន្លូតកូនគ្មានច្បាប់</p-l></li></ul>	noun
