jago gelut	<p-n>noun</p-n> orang yang gemar berkelahi
jago kandang	<p-n>noun</p-n> orang yang hanya berani atau unggul (berbicara, melawan, dsb) di lingkungannya sendiri
jago kapuk	<p-n>noun</p-n> <p-n>slang</p-n> bekas pemain (sepak bola dsb)
jago karate	<p-n>noun</p-n> orang yang pandai bermain karate
jago kepruk	<p-n>noun</p-n> orang yang suka memukuli (berkelahi, dsb); tukang pukul
jago kertas	<p-n>noun</p-n> orang yang tampaknya pemberani, padahal penakut
jago merah	<p-n>noun</p-n> api kebakaran
jago silat	<p-n>noun</p-n> orang yang pandai bersilat
jago tinju	<p-n>noun</p-n> orang yang pandai bertinju
jagoan	<p-n>noun</p-n> <ol><li><p-n>slang</p-n> orang yang suka berkelahi; pendekar; samseng:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">dia dikenal sebagai seorang jagoan yang suka sekali berkelahi</div></div><br></li><li>orang yang sangat gemar terhadap sesuatu (misal pesta, pertunjukan):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">jagoan menonton wayang</div></div><br></li></ol>
jagokan	<p-n>verb</p-n> bentuk transitif dari menjagokan<div class="form_of">Form of: menjagokan</div>
jagokanlah	<p-n>verb</p-n> bentuk imperatif dari jagokan<div class="form_of">Form of: jagokan</div>
jagra	<p-n>noun</p-n> tidak tidur selama 36 jam (dalam rangka pengendalian diri):<div class="tags"><b>Hinduism</b></div><br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Brata atau pengendalian diri yang mesti dilakukan umat Hindu pada hari Siwaratri adalah jagra</div></div>
jagrak	<p-n>noun</p-n> kuda-kuda
jaguar	<p-n>noun</p-n> binatang buas, termasuk jenis kucing, sebesar macan tutul, terdapat di Amerika Selatan dan Amerika Tengah; "Ponthera onca"
jagung	<p-n>noun</p-n> <ol><li>terna yang termasuk suku Gramineae, berbatang pejal, tingginya mencapai 2 m, berdaun memita panjang, bunga jantan tumbuh paling atas, bunga betina di ketiak daun berbentuk bonggol, dilindungi oleh kelobot, umumnya berbiji kuning, buahnya dapat dimakan sebagai makanan pokok; Zea mays<br></li><li>buah atau biji jagung<br></li></ol>
jagung titi	<p-n>noun</p-n> makanan yang terbuat dari jagung yang ditumbuk
jagung tumbuk	<p-n>noun</p-n> jagung yang ditumbuk kasar, dapat dijadikan bahan makanan dan pakan
jagur	<p-n>adj</p-n> besar tubuhnya (tidak sebanding dengan umurnya); bagur:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Dia termasuk anak yang jagur, cepat sekali pertumbuhannya</div></div>
jah	<p-n>noun</p-n> <div class="tags"><p-n>Classical</p-n> , <p-n>archaic</p-n> </div>kebesaran; kemuliaan; keluhuran
jaha	<p-n>noun</p-n> <ol><li>pohon rimba yang besar, buahnya yang masak biasa digunakan sebagai obat, bahan untuk mengecat atau menyamak kulit, bahan untuk membuat tinta, dan zat warna; "Terminalia belerica"<br></li><li>buah jaha<br></li></ol>
jahan	<p-n>noun</p-n> <ol><li>ikan laut, siripnya berbisa; Arius thalassinus<br></li><li>ikan laut, Neroma thalassinus<br></li></ol>
jahanam	<p-n>adj</p-n> <p-n>slang</p-n> terkutuk; jahat sekali:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Perempuan jahanam, enyah dari sini</div></div>
jahanam	<p-n>verb</p-n> celaka; binasa:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Rumah tanggamu akan jahanam jika engkau tidak menurut nasihatku</div></div>
jahanam	<p-n>noun</p-n> laut api tempat menyiksa di akhirat:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Neraka jahanam</div></div>
jahanamkan	<p-n>verb</p-n> bentuk transitif dari menjahanamkan<div class="form_of">Form of: menjahanamkan</div>
jahanamkanlah	<p-n>verb</p-n> bentuk imperatif dari jahanamkan<div class="form_of">Form of: jahanamkan</div>
jahar	<p-n>adj</p-n> keras suara (dalam berzikir, membaca ayat)
jaharu	<p-n>noun</p-n> <div class="tags"><p-n>Classical</p-n> , <p-n>archaic</p-n> </div>orang hina; orang kurang ajar; penjahat
jahat	<p-n>adj</p-n> [[]]<br><div>Synonyms: <p-a>angkara</p-a>, <p-a>kejam</p-a></div>
jahat-jahat	@jahat	<p-n>adj</p-n> banyak yang jahat
jahatkan	<p-n>verb</p-n> bentuk transitif dari menjahatkan<div class="form_of">Form of: menjahatkan</div>
jahatkanlah	<p-n>verb</p-n> bentuk imperatif dari jahatkan<div class="form_of">Form of: jahatkan</div>
jahatmu	<p-n>noun</p-n> bentuk posesif orang kedua dari jahat; jahat kamu/Anda<div class="form_of">Form of: kedua</div>
jahatnya	<p-n>noun</p-n> bentuk posesif orang ketiga dari jahat; jahat dia/orang tersebut<div class="form_of">Form of: ketiga</div>
jahe	<p-n>noun</p-n> <ol><li>tumbuhan berakar tunggang (umbinya pedas rasanya, dipakai sebagai aromatik, bumbu dapur, atau obat), berdaun lonjong dan lancip, bunganya berbulir; halia; "Zingiber officinale"<br></li><li>umbi jahe<br></li></ol>
jahil	<p-n>adj</p-n> <ol><li>bodoh; tidak tahu (terutama tentang ajaran agama):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Para ulama berkewajiban menuntun golongan jahil dan bebal</div></div><br></li><li><p-n>slang</p-n> jail<br></li></ol>
jahil murakab	<p-n>noun</p-n> amat bodoh
jahiliah	<p-n>noun</p-n> kebodohan
jahiriah	<p-n>adj</p-n> jahar
jahit jelujur	<p-n>noun</p-n> jahitan sementara dengan tangan secara kasar (yang akan dibuka lagi setelah jahitan sebenarnya dilakukan)
jahit lilit ubi	<p-n>noun</p-n> cara menjahit dengan melilitkan benang pada tepi bahan yang dijahit (seperti menjahit karung)
jahit mati	<p-n>noun</p-n> jahitan yang tidak untuk dibuka lagi
jahit mesin	<p-n>noun</p-n> jahitan yang menggunakan mesin
jahit tangan	<p-n>noun</p-n> jahitan dengan tangan (tanpa mesin)
jahitan	<p-n>noun</p-n> <ol><li>cara menjahit<br></li><li>hasil menjahit<br></li><li>barang yang dijahit<br></li></ol>
jahul	<p-n>adj</p-n> jahat; jahil
jail	<p-n>adj</p-n> <ol><li><p-n>slang</p-n> dengki<br></li><li>suka mengganggu (menggoda dsb.) orang lain; nakal:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">tangan-tangan jail</div></div><br></li></ol><div>Synonyms: <p-a>jahil</p-a></div>
jaipong	<p-n>noun</p-n> tarian khas Sunda kreasi baru yang gerakannya sangat dinamis, spontan, penuh improvisasi, dan mudah diterima masyarakat dari segala lapisan; jaipongan
jaipongan	<p-n>noun</p-n> jaipong
jaipongan	<p-n>verb</p-n> berjaipong
jais	<p-n>adj</p-n> jai
jaiz	<p-n>adj</p-n> diizinkan menurut agama (boleh dilakukan, tetapi boleh juga tidak); mubah<div class="tags"><b>Islam</b></div>
jaja-jajaan	<p-n>noun</p-n> barang dagangan yang dijajakan
jajah	<p-n>verb</p-n> <ol><li>pergi<br></li><li>kuasai daerah<br></li></ol>
jajahan	<p-n>noun</p-n> <ol><li>daerah yang masuk dalam suatu pemerintahan dsb; lingkungan; (dalam) bilangan<br></li><li>negeri dsb yang dijajah oleh negeri asing; daerah taklukan:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">negara itu merupakan jajahan Belanda</div></div><br></li></ol>
jajahannya	<p-n>noun</p-n> bentuk posesif orang ketiga dari jajahan; jajahan dia/orang tersebut<div class="form_of">Form of: ketiga</div>
jajakan	<p-n>verb</p-n> bentuk transitif dari menjajakan<div class="form_of">Form of: menjajakan</div>
jajakanlah	<p-n>verb</p-n> bentuk imperatif dari jajakan<div class="form_of">Form of: jajakan</div>
jajal	<p-n>verb</p-n> coba; uji; tes
jajan	<p-n>noun</p-n> kue; penganan
jajan	<p-n>verb</p-n> <p-n>slang</p-n> membeli makanan (nasi, kue, dsb.) di warung; berjajan
jajan	<p-n>verb</p-n> <p-n>figuratively</p-n> bermain perempuan; pergi ke tempat wanita lacur
jajan pasar	<p-n>noun</p-n> penganan, buah-buahan, dsb yang dibeli dari pasar untuk pelengkap sesaji dsb
jajanan	<p-n>noun</p-n> penganan yang dijajakan; kudapan
jajar	<p-n>noun</p-n> baris; deret; banjar
jajar	<p-n>noun</p-n> lubang panjang bekas dibajak; alur
jajaran	<p-n>noun</p-n> <ol><li>baris; deret(an):<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">ia duduk di jajaran paling muka</div></div><br></li><li>susunan unsur dalam bentuk baris dan kolom digunakan dalam determinan dan matriks<br></li><li><p-n>figuratively</p-n> barisan; susunan kelompok dengan tugas yang sama:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">jajaran TNI; jajaran Departemen Kesehatan</div></div><br></li></ol>
jajaran genjang	<p-n>noun</p-n> bangun datar, bersegi empat, sisi-sisinya yang berhadapan sejajar dan sama panjang<div class="tags"><b>mathematics</b></div>
jajarkan	<p-n>verb</p-n> bentuk transitif dari menjajarkan<div class="form_of">Form of: menjajarkan</div>
jajarkanlah	<p-n>verb</p-n> bentuk imperatif dari jajarkan<div class="form_of">Form of: jajarkan</div>
jaka	<p-n>noun</p-n> anak laki-laki yang telah dewasa, tetapi belum berumah tangga; perjaka; lajang
jakal	<p-n>noun</p-n> anjing hutan yang berbulu kuning, terdapat di Afrika dan Asia; "Canis aureus"
Jakarta	<p-n>name</p-n> <ol><li>salah satu provinsi di Indonesia di pulau Jawa<br></li><li>ibukota negara Indonesia<br></li></ol>
jakas	<p-n>noun</p-n> tumbuhan pandan, "Pandanus"
jaket	<p-n>noun</p-n> <ol><li>baju luar (untuk penahan dingin atau angin)<br></li><li>sampul luar buku<br></li></ol>
jaket buku	<p-n>noun</p-n> sampul pelindung kulit buku
jaket bulu	<p-n>noun</p-n> baju luar untuk penahan dingin atau angin terbuat dari bulu binatang
jaket kulit	<p-n>noun</p-n> jaket yang terbuat dari kulit binatang
jaksa	<p-n>noun</p-n> pejabat di bidang hukum yang bertugas menyampaikan dakwaan atau tuduhan di dalam proses pengadilan terhadap orang yang diduga melanggar hukum.
jaksa agung	<p-n>noun</p-n> kepala kejaksaan tertinggi
jaksa tinggi	<p-n>noun</p-n> jaksa pada mahkamah tinggi; jaksa tertinggi di suatu daerah
jakun	<p-n>noun</p-n> ujung kerongkongan yang tampak menonjol pada leher (biasanya pada lelaki remaja akhir hingga dewasa)<br><div>Synonyms: <p-a>lekum</p-a></div>
jakun	<p-n>adj</p-n> heran karena melihat sesuatu yang tidak cukup familiar
jala	@jala-jala	<p-n>noun</p-n> <ol><li>alat untuk menangkap ikan yang berupa jaring bulat (penggunaannya dengan cara menebarkan atau mencampakkan ke air)<br></li><li>net<br></li></ol>
jala	<p-n>verb</p-n> tangkap (tentang ikan) dengan jaring
jala muatan	<p-n>noun</p-n> jala yang bersegi empat, terbuat dari tali manila atau kabel baja untuk menaikkan dan membongkar muatan dari dalam palka
jala rambang	<p-n>noun</p-n> jala yang lebar-lebar matanya
jala tangga	<p-n>noun</p-n> jala yang digunakan dalam keadaan darurat untuk naik ke geladak kapal dari permukaan air<div class="tags"><b>shipping</b></div>
jala-jala	<p-n>noun</p-n> segala apa yang rupanya seperti jala
jala-jala muat	<p-n>noun</p-n> jala-jala yang biasanya dipasang pada sisi atau lambung kapal sewaktu bongkar muat untuk mencegah jatuhnya muatan<div class="tags"><b>shipping</b></div>
jala-jala rambut	<p-n>noun</p-n> jala-jala yang dipakai wanita untuk menjaga agar sanggul tetap rapi; harnet
jalabria	<p-n>noun</p-n> penganan yang dibuat dari tepung ketan yang diberi gula dan digoreng
jalad	<p-n>noun</p-n> hawa dingin yang membekukan air
jalak jantan	<p-n>noun</p-n> <ol><li>nama keris<br></li><li>nama ayam sabungan (ayam jantan yang berbulu hitam kurik-kurik); ayam jalak<br></li></ol>
jalakan	<p-n>verb</p-n> bentuk transitif dari menjalakan<div class="form_of">Form of: menjalakan</div>
jalakanlah	<p-n>verb</p-n> bentuk imperatif dari jalakan<div class="form_of">Form of: jalakan</div>
jalal	<p-n>noun</p-n> kemuliaan; keluhuran; kebesaran
jalal	<p-n>adj</p-n> mahamulia
jalamu	<p-n>noun</p-n> bentuk posesif orang kedua dari jala; jala kamu/Anda<div class="form_of">Form of: kedua</div>
jalan	@jalan-jalan	<p-n>noun</p-n> <ol><li>tempat untuk lalu lintas<br></li><li>perlintasan<br></li></ol><div>Synonyms: <p-a>berjalan</p-a></div>
jalan air	<p-n>noun</p-n> <ol><li>sungai, kanal, atau saluran lainnya yang dapat dilayari sebagai jalan dalam usaha pengangkutan<br></li><li>saluran (pipa dsb) bagi aliran air<br></li></ol>
jalan air internasional	<p-n>noun</p-n> laut, sungai, danau, kanal, atau saluran lainnya yang dapat dijadikan jalan dalam usaha pengangkutan antarnegara
jalan angan-angan	<p-n>noun</p-n> jalan pikiran
jalan angin	<p-n>noun</p-n> lubang di dinding tempat angin berlalu (keluar masuk)
jalan arteri	<p-n>noun</p-n> jalan utama, dipakai untuk memperlancar perhubungan
jalan bahasa	<p-n>noun</p-n> tata bahasa; tata pemakaian bahasa
jalan bebas hambatan	<p-n>noun</p-n> jalan besar yang tidak ada hambatan (misal tidak dihambat oleh lampu lalu lintas di perempatan); jalan tol
jalan belakang	<p-n>noun</p-n> jalan untuk mencapai sesuatu yang tidak melalui saluran atau prosedur yang sebenarnya (tentang melamar pekerjaan, masuk sekolah, dsb)
jalan bentar	<p-n>noun</p-n> jalan (lintas) searah, biasanya mengelilingi (mengitari) kota
jalan buntu	<p-n>noun</p-n> <ol><li>jalan yang tidak ada terusannya (buntu atau tertutup) pada ujungnya<br></li><li><p-n>figuratively</p-n> masalah yang tidak dapat dipecahkan atau diteruskan hingga selesai (tentang perundingan atau rapat yang tidak mendapat persesuaian pendapat); keadaan tanpa adanya pemecahan<br></li><li>keadaan yang memaksa pihak yang bertentangan berhenti (karena mempunyai kekuatan seimbang) pada suatu titik tertentu sebab kedua belah pihak sudah tidak mungkin lagi untuk maju atau mundur<div class="tags"><b>politics</b></div><br></li></ol>
jalan butulan	<p-n>noun</p-n> jalan tembus (dari samping atau dari belakang)
jalan cepat	<p-n>noun</p-n> bagian atau nomor (dalam cabang olahraga atletik):<div class="tags"><b>sports</b></div><br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Perlombaan jalan cepat (5 km, 10 km, 20 km, 50 km) yang sebagian telapak kakinya harus menyentuh tanah</div></div>
jalan damai	<p-n>noun</p-n> cara yang ditempuh atau keputusan yang diambil oleh yang berselisih pendapat secara mufakat (tanpa melalui pengadilan, tanpa kekerasan)
jalan darat	<p-n>noun</p-n> berjalan melalui darat (tidak naik kapal laut atau kapal terbang)
jalan gelap	<p-n>noun</p-n> jalan atau cara yang sesat (yang tidak diridai Allah)
jalan hidup	<p-n>noun</p-n> cara menempuh (mempertahankan) kehidupan yang bertalian dengan penentuan nasib hidup
jalan keluar	<p-n>noun</p-n> <ol><li>pintu keluar<br></li><li><p-n>figuratively</p-n> jalan pemecahan (untuk mengatasi suatu persoalan)<br></li></ol>
jalan kerucut	<p-n>noun</p-n> jalan berbentuk kerucut yang berpagar pinggir untuk menggiring ternak masuk kandang atau ke suatu tempat
jalan kompromi	<p-n>noun</p-n> jalan damai
jalan layang	<p-n>noun</p-n> jalan raya yang dibangun di atas tiang pancang (beberapa meter di atas jalan biasa)
jalan lepas	<p-n>noun</p-n> jalan keluar (dari kesulitan dsb)
jalan lingkar	<p-n>noun</p-n> jalan yang melingkari kota (menghindari pusat kota) untuk mengurangi kemacetan lalu lintas:<br><div class="examples">Examples:<br><div class="example" style="padding: 10px 20px;">Di Jakarta dibangun jalan lingkar yang mengelilingi kota yang panjangnya puluhan kilometer</div></div>
jalan lingkungan	<p-n>noun</p-n> jalan di dalam kampung
jalan lintas pemandangan satwa liar	<p-n>noun</p-n> sarana jalan bagi para pengunjung kawasan konservasi untuk dapat menyaksikan atraksi satwa liar yang ada di dalam kawasan itu
jalan masuk	<p-n>noun</p-n> <ol><li>jalan yang khusus dibuat untuk jalur pengangkutan menuju suatu lokasi atau tempat kerja<br></li><li>jalan (lubang) yang menghubungkan tambang bawah tanah dengan permukaan, merupakan jalan pengangkutan ataupun jalan aliran udara (ventilasi)<br></li></ol>
jalan mati	<p-n>noun</p-n> jalan yang tidak dipakai lagi
jalan memintas	<p-n>noun</p-n> jalan pintas
jalan naik	<p-n>noun</p-n> kesempatan untuk maju
jalan napas	<p-n>noun</p-n> buluh-buluh tempat napas keluar masuk paru-paru
jalan parkir udara	<p-n>noun</p-n> bagian lapangan terbang yang mendapat pengerasan lebih dari yang biasa, tempat lalu lintas pesawat dalam mengadakan persiapan lepas landas atau setelah melakukan pendaratan
jalan pedalaman	<p-n>noun</p-n> sungai, danau, kanal, atau saluran lainnya yang dijadikan jalan dalam usaha pengangkutan di daerah pedalaman
jalan pendekat	<p-n>noun</p-n> jalan yang mungkin ditempuh untuk mencapai sasaran
jalan pikiran	<p-n>noun</p-n> cara berpikir (dalam memecahkan atau mengatasi suatu persoalan)
jalan pintas	<p-n>noun</p-n> <ol><li>jalan yang lebih dekat (untuk sampai ke tempat tujuan)<br></li><li><p-n>figuratively</p-n> cara bertindak yang tidak mengikuti aturan (hukum); terobosan<br></li></ol>
jalan protokol	<p-n>noun</p-n> jalan utama di kota-kota besar; jalan yang menjadi pusat keramaian lalu lintas
jalan raya	<p-n>noun</p-n> jalan besar dan lebar, biasanya beraspal, dapat dilalui kendaraan besar (truk, bus) dari dua arah berlawanan
jalan salib	<p-n>noun</p-n> <ol><li>rangkaian lukisan (masing-masing disertai salib) berjumlah 14, yang diatur secara berurutan di dinding gereja untuk memperingati 14 tahap perjalanan Jesus ke tiang penyaliban<br></li><li>kebaktian yang terdiri atas 14 doa yang berhubungan dengan setiap tahap perjalanan Jesus ke tiang penyaliban<br></li></ol>
jalan samping	<p-n>noun</p-n> <ol><li>jalan di samping rumah<br></li><li>jalan kecil yang searah dengan jalan yang besar<br></li><li><p-n>figuratively</p-n> perbuatan tidak menurut cara yang benar<br></li></ol>
jalan serong	<p-n>noun</p-n> <ol><li>jalan yang tidak lurus<br></li><li><p-n>figuratively</p-n> perbuatan yang tidak sebagaimana mestinya (curang, tidak jujur, dsb)<br></li></ol>
