A	 pronounced a as in fat. 
-bala (balile)	v.t. (1) to read: Ku bala buka, to read a book (2) to count, to reckon: Lu balile likomu za luna, we have counted our cattle. der. mubali, palo, lipalo, mubalelo. rel.-balela (balezi) to read to, to read for: to count for: U ba balele 1inolo le, read this letter for them caus. -balisa (balisize) to teach someone to read; to help someone to count. int. -balelela (balelezi) to read or count completely. inv. -balulula (baluluzi) to read or count again and again. ref. -lpalela (ipalezi) to ~ for oneself. 
-bala-bala (bala-balile)	v.t. to talk nonsense, to talk a lot in order to hide thc truth. rel. -bala-balela (bala-balezi) to talk nonsense to. caus. -bala-balisa (bala-balisize) to cause to talk nonsense: Tala i mu bala-balisa zenata, hunger causes him to talk a lot. 
-baleha (balehile)	v.i. to run away, to flee: Ba balehile nwa ndwa, they fled from the war. der. mubalehi, mubaleheli, paleho, baleho. cf: saba rel. -balehela (balehezi) to flee to, to take refuge in; to flee from: Mulena Lewanika n'a halehezi kwa Mashi, King Lewanika fled to Mashi. caus, -balehisa ( balehisize to cause to ~. 
baleho, (li-)	n. flight!,escape (from: -baleha) 
-balekela (balekezi)	v.t. to put other pots on the fire: Balekela piza kwatuko, put the pot on the fire close to the other one. 
balela1 (balezi)	v.t. to get into the windpipe (larynx): Mezi a ni balezi, the water has half choked me. caus. -balelisa (balelisize) to cause to ~: U ni balelisa mezi ka ku ni sehisa, you cause the water to go down the wrong way when you make me laugh. 
-balela2 (balezi)	v.t. to put laths in a wall or a roof: Ku balela lapa, to strengthen the grass enclosure with laths. der. libalelo or lubalelo. rel. -balelela ( balelezi ) to ~ for someone caus. -balelisa(balelisize) to help ~: U t'o ni balelisa lapa la ka, come and help me to put laths on my grass enclosure. 
balimu,	n. pl. ancestral spirits. 
-baluka1 (balukile)	v.i. to have the ears cocked (as dogs when roused by a distant sound). (Also said of people with protruding ears): Mwana ya balukile lizebe u talimeha ku ba ni butali, a child whose ears stick out is likely to be clever fig. to be all ears, to prick up one's ears. 
-baluka2 (balukile)	v.i. to get split off as a splinter, to be chipped syn. -pazuha. 
-bama (bamile)	v.i. to be irregular or roughly sewn: Museme wo u bamile, this mat has been roughly sewn. cause. -bamisa (bamisize) to sew roughly. 
-bamala (bamazi)	v.t. to beat, to strike: U mu bamazi ka mulamu, he beat him with a stick syn. -nata. 
-bamba1 (bambile)	v.t. to bind round tightly with bark, string, etc. Ba bamhile pizana ka makumba, they have bound the pot round with bark. rel. -bambela (bambezi) to ~ for someone. 
-bamba2 (bambile)	v.t. Luyana. to catch; to handcuff. rel. -bambela (bambezi) to hold for someone. caus. -bambisa (bambisize) to help someone to hold. 
bambaba1 (bambabile)	v.i. to show a bad character in speaking: Mutu ya bambabile ku tata ku mu twaelela, it is difficult to become intimate with someone who is all the time speaking in anger. 
-bambaba2 (bambabile) 	v.i. to be hard-hearted, bad tempered. der. bubamba. 
-bambana (bambani)	v.i. to fight: Lu ta bambana ha u ni lwaha, we shall fight if you insult me. syn. -lwana. rel. -bambanela (bambanezi) to fight for a definite reason or purpose. 
-bambeka (bambekile)	v.t. to treat or regard with favour: Mulena u mu bambekile hande, the Litunga has shown him favour. caus. -bambe- kisa (bambekisize) to recommend someone, to help someone to be well-treated. 
-bambela (bambezi)	v.t. to bind a spear, a fishing spear etc., to prevent it from getting loose from its handle. rel. -bambelela (bambelezi) to ~ for someone. fig to force someone to stay where he does not like. cause. -bambelisa (bambelisize) to help to ~. 
-bambiliketa1 (bambiliketite)	v.t. to force somebody to do something against his will: Ku bambiliketa mwana kwa sa lati ku ina, to force a child to stay where he does not like. cf. -bambela, -tamelela. 
-banda1 (bandile)	v.i. to threaten to fight (esp. hippo or bull) (see: -ipanda) 
-banda2 (bandile)	v.t. to escape, to pass through a danger: folofolo i lu bandile, the animal escaped from us. der. lubandangoti. caus. -bandisa (bandisize) to help to escape, to let someone go: Ba bandisize batu ba banata, they let many people get through. 
-banda3 (bandile)	v.t. to strike someone on the head with the palm of the hand: Ku banda mutu lubaka, to give someone a slap on the head. 
-banda4 (bandile)	v.t. to cut roughly into shape, to start carving: U banda kota ku eza mukolo, he is shaping out roughly a log to make a canoe. der. mubandi, sibandiso, mubandelo. rel. -bandela (bandezi) to ~ for someone. cause. -bandisa (bandisize) to help to ~. freq. -bandaula (bandauzi) to chip out roughly: Mukeke wo u bandauzwi fela, this wooden plate has been chipped out roughly. red. -banda- banda (banda-bandile) to give a rough shape in carving. 
-bandaeza (bandaezize)	v.t. to clean a plate with the last portion of 'buhobe' at the end of a meal. 
-bandamena (bandamezi)	v.t. to watch for someone, to hide oneself in order to attack someone, to ambush: Ba mu bulaile ka ku mu bandamena, they have killed him in an ambush. caus. -bandamenisa (bandamenisize) to help to ~. 
-banduka (bandukile)	v.i. to split off (as an animal from a herd) to get free from harm, to escape when others don't: Lo bandukile mwa ndwa, we got through the war without harm rel. -bandukela (bandukezi) to escape in a certain way: U bandukezi fo ku nyinyani, he had a narrow escape. caus. -bandukisa (bandukisize) to enable someone to escape danger; to rescue. 
-bandutula (bandutuzi)	v.t. (1) to put things in order to set in order: Ku bandutula liluo la mutu, to organise the right distribution of a dead man's property. (2) to bring convincing arguments into a case: Mwa muzeko wa mubu ku tokwahala ya ziba ka bandutula hande, in a land contestation a clever witness is needed. 
-bandumuka (bandumukile)	v.i. to escape, to disappear. 
-banga (bangile)	v.t. Luyana. to nurse, to doctor, to give medicine to der. mubangi, nganga. rel. -bangela (bangezi) to nurse for someone. caus. -bangisa (bangisize) to help to ~. 
-bangoka (bangokile)	v.i. not to listen to, to be mischievous; to be fond of spoiling things, of fighting der. sibangoki. caus. -bangokisa (bangokisize) to cause to ~. 
-bangula (banguzi)	v.t. to cut barbs on fishing spears. 
bani,	dem. pron. pl. (class: mu-ba) 3rd degree; those: bashimani bani ba ezani? What are those boys doing? 
-banja (banjize)	v.t. to take grain out of the granary in order to stamp it: Ku banka mulalelo, to get out some grain for supper. der. mubanji. rel. -banjela or -banjeza (banjelize) to give someone grain from the granary for stamping. 
banji, Luyana 	exp. meaning: the bottom is near (used in river transports when paddlers must cease rowing and start poling) cf. akalikule. 
-banjo (li-)	n. Eng. 'home made' guitar usually played by children. 
bapala (bapalile) 	v.i. to plays to amuse oneself. der. mubapali papali, sibapaliso, mubapalalo, libapalelo. fig. to be in good health: Banana ba bapala hande, the children are in good health. rel. -bapalela (bapalezi) to play at, to play on; to pull someone's leg, to trifle" Ku bapalela batu, to jeer at people. caus. -bapalisa (bapalisize) to amuse, to play with, to entertain: U bapalisa mwana, he is playing with the child; u sike wa bapalisa libizo la Mulimu, you must not take the name of the Lord in vain. rel. -bapaliseza (bapaliselize) to cause to play for, at, in. U sike wa bapaliseza banana mwa ndu, do not play with the children in the house. 
bapana (bapani)	v.i. to be near one another: Mandu a luna a bapani hahulu, our houses are too close. der. mabapa ni. 
-bapanya (bapanyize)	v.t. (1) to put things side by side or to put people in one line as in a race. (2) to compare: U sike wa bapanya mutu ya lukile ni silumba sani, do not compare a good man with that rascal. 
-bapisa (bapisize)	v.t. to compare, to illustrate, to give an example: N'a bapisa komu ya ka ni ya hae, he was comparing my cow to his. ref. -lpapisa (ipapisize) to compare oneself to. 
-bapaza (bapazize)	v.t. to barter, to exchange, to offer for sale, to advertise: U bapaza komu ya hae, he is offering his cow for sale. der. papazo. syn. -fundota. rel. -bapazeza (bapazelize) to for someone. 
-bapuha (bapuhile)	v.i. to be well stretched: Maoma a bapuhile hande, the skin covering the royal drums is well stretched. 
-bapula (bapuzi)	v.t. to stretch with pegs, to peg, to put a hide on a drum: Ba bapuzi tente, they have pegged out the tent. der. mubapuli, sibapuliso. syn. -takisa. fig. to throttle someone until all his limbs are outstretched. rel. -bapulela (bapulezi) to for someone. caus. -ba-pulise (bapulisize) to help to. inv. -bapulula (bapuluzi) to take off pegs from a stretched skin, etc. 
-basa (basize)	v.t. to paint. to put colours on, to dye, to decorate: Musali yo u basize hande lipiza za hae, this woman has artistically decorated her pots. der. mubaso, sibasiso. fig. to transmit colour by breeding: Ki ifi poho ye basa cwana? Which bull is it that produces stock of such a colour? rel. -baseza (baselize) to paint for someone. caus. -basisa (basisize) to help to paint. 
basi, (li-)	n. Eng. bus. 
basu !	interj. expressing fright, wonder, instant request: Mu n'o akufa basu! Do hurry up! (same as besu, basuni, basunu, which are slightly more polite.) 
bata!	n. Eng. butter. syn. silileli. 
-bata1 (batile)	v.t. (1) to seek, to look for; to wish, to require, to desire: Ni bata kama ya ka, I am looking for my comb. Mu batani? What are you looking for? syn. -tembuka, -tonoka. (2) to seek in marriage, to court, to woo: U bata musali, he is looking for a wife. der. mubati, libato, mubatelo. (3) when used as auxiliary verb means; to be very near or on the point of: Mutu yo u hata ku shwa, this person is on the point of death. rel. -batela (batezi) to seek for, in, at. caus. -batisa (batisize) to help someone to seek, to put a price upon: Komu ya hao u i batisa bukai? How much do you want for your cow? int. -batisisa (batisisize) to search carefully, to investigate. int-stat. -batahala (batahalile) to be required or wanted: Se si batahala fela ki sico, what is required is food only. ref. -lpatela (ipatezi) to ~ for oneself. rel. -ipatapata (ipatapatile) to try hard to find money with which to make an urgent purchase or payment. syn. -ibalabata. 
-bata2 (batile)	v.i. (1) to be cool or cold: Tisa mezi a bata, bring some cold water; kacenu kwa bata, today it is cold (2) to be empty: Ha ku na mbonyi mwa sizuma, ki mo ku bata, there is no maize in the basket, it is empty; lu f ﾝ mani mwa hae kwa bata ku li poo! We found no one in the village. rel. (pass) -batelwa (ba-tezwi) to feel cool: Pula ha i nelile lwa batelwa, after it has rained we feel cool. caus. -batisa (batisize) (1) to make cool: Ndondo i batisa mezi, the pitcher makes the water cool. der. sibatiso. (2) to kill in a short time: Ha lu fita lwa fumana ki kale a mu batisa, when we arrived we found that he had already killed the man 
-bata3 (batile)	v.i. to be tasteless, to be insipid: Busunso bo bwa bata, this relish is tasteless. 
-bata4 (batile)	v.t. to strike (usually on the head): U mu batile lituma, he has wounded him on the head. rel. -batela (batezi) to beat at, in freq. -bataka (batakile) to strike repeatedly in several places. 
-bateka (batekile)	v.t. to hang something on a forked pole, to place under the eaves, to hold between one's legs (a drum, etc.:) U bateke swaki ya mezi kwa lifata, hang the water bag on the forked pole 
bati!	interj. of surprise Ha! 
batili,	adv. no (polite word of refusal or denial) syn. awa. (impolite not used to superiors) 
-batula (batuzi)	v.t. Luyana. to cut. der. sibataulo. syn. -puma. rel. -batulela (batulezi) to ~ for someone. caus. -batulisa (batulisize) to help to ~. freq. -bataula (batauzi) to cut into pieces. 
-baula (bauzi)	v.t. to go across a river. syn. -sila. caus. -baulisa (baulisize) to take across a river. 
-bayula1 (bayusi) 	v.i. to overflow (of rivers and canals) freq. -bayaula (bayauzi) to overflow in many places when the flood arrives. 
-bayula2 (bayuzi)	v.t. to strike with a stick or knobkerry: Ba mt bayuzi fa pata, they struck him on the face. fig. to speak plainly: Ku bayula taba, to explain the matter straight forwardly 
-bea (beile)	v.t. (1) to put, to place, to set up: Buka ye u y'o i bea fa tafule, go and put this book on the table (2) to install: Ku bea mutu fa bulena, to crown a king. (3) to bear fruit, to produce, to yield: Likota za luna li beile hahulu, our trees have produced, much fruit. der. mubei, sibeiso, peo. rel. -beela (beezi) (1) to keep for someone: Mu y'o ni beela, go and keep some food for me, I am coming. (2) to put poison in someone's food. der. mabeela. caus. -beisa (beisize) (1) to help to put things in their places: T'o ni beise libyana mwa ndu, come and help me put things in the house. (2) to make fruitful; to have green fingers: Wena ya beisa, u t'o ni calela, as you have green fingers, please come and sow my seeds. ref. -lpea (ipeile) (1) to submit oneself: Mutu kaufela a ipee mwatasi a ba ba busa, let everybody be subject to the higher power. (2) to be self confident, to presume: Mutu yo u ipea ya lukile. this man believes in his own right-eousness. 
-beba1 (bebile) 	v.t. to give a smooth finish to woodwork (spear handle, paddle, etc. der. mubebi, sibebiso, mubebelo. syn. -yenga rel. -bebela (bebezi) to ~ for someone. caus. -bebisa (bebisize) to help to ~ ref. -lbebela (ibebezi) to ~ for oneself 
-beba2 (bebile)	v.i. Luyana. to play. der. sibebiso. syn. -bapala. 
-bebuluha (bebulukile)	v.i. to stray from the right direction; to miss the aim in shooting: Lilumo li bebulukile, the shot has missed the target. rel. -bebulukela (bebulukezi) to turn away, to deviate towards. caus. -bebulukisa (bebulukisize) to cause to ~ : U sike wa bebulukisa mukolo, don't cause the canoe to deviate. 
-beka (bekile)	v.t. to cut meat into small pieces, to make biltong or thongs. der. mubeki, sibekiso, mubekelo. rel. -bekela (bekezi) to ~ for someone. caus. -bekisa (bekisize) to order or to help to ~ fig to overwork: Ba ni bekisize musebezi ni li nosi, they ordered me to do all the work alone. ref. - fig - ipekisa (ipekisize) to take too much upon oneself: Mu sike mwa ipekisa taba mu nosi, don't bear the trouble alone. 
