अचंभे	Aback
लोहोराले चलाउने फलामको अचानु	Anvil
चिन्ता	Anxiety
चिन्तित	Anxious
उत्सुकतापूर्वक	Anxiously
कुनै पनि	Any
कुनै	Anybody
कुनै पनि तरिका	Anyhow
कुनै	Anyone
कहीं	Anyplace
केहि	Anything
जे भए पनि	Anyway
वैसे	Anyways
कहीं	Anywhere
महाधमनी	Aorta
महाधमनी	Aortic
जोडतोडले	Apace
अपाचे	Apache
मगरलाई	Apar
अलग	Apart
रंगभेद	Apartheid
आवास	Apartment
उदासीन	Apathetic
नदेखाउँदा	Apathy
एपेटाइट	Apatite
बाँदर	Ape
छिद्र	Aperture
शीर्ष	Apex
छालेयुक्त	Aphthous
शीर्षस्थित	Apical
सङ्ग्रहालयसमेत	Apicultural
एउटाको	Apiece
अधिकारी अधिकारी	Apio
बाटो ढुकेर बसेको	Aplenty
एपनिया	Apnea
सर्वनाश	Apocalypse
बगेको	Apocalyptic
एपोक्राइफा	Apocrypha
अप्रमाणित	Apocryphal
अपोलो	Apollo
अपोल्लोनिया	Apollonia
एपोलोनियन	Apollonian
बढुवा	Apologetic
माफी	Apologize
माफी	Apology
कोनारेसी	Aponogetonaceae
अस्थिविवर्धन	Apophysis
धर्मत्याग	Apostasy
धर्मत्यागी	Apostate
प्रेरित	Apostle
प्रेषित	Apostleship
रूपान्तरित	Apostolic
सम्बोधन चिन्ह	Apostrophe
औषधी	Apothecary
दैवत्वारोपण	Apotheosis
भयानक	Appalling
उपकरण	Apparatus
परिधान	Apparel
स्पष्ट	Apparent
सम्भवतः	Apparently
प्रेत	Apparition
निवेदन	Appeal
आकर्षक	Appealing
देखा	Appear
उपस्थिति	Appearance
तुष्टि	Appease
रमाउने	Appellant
पुनरावेदन	Appellate
छानबीन	Appellation
थप्न	Append
परिशिष्ट	Appendices
परिशिष्ट	Appendix
भोक	Appetite
क्षुधावर्धक	Appetizer
सराहना	Applaud
ताली	Applause
स्याउ	Apple
उपकरण	Appliance
प्रयोज्यता	Applicability
लागू	Applicable
आवेदक	Applicant
आवेदन	Application
एप्लाइड	Applied
पिपली	Applique
लागू	Apply
नियुक्त	Appoint
नियुक्त	Appointee
नियुक्ति	Appointment
पाउने	Apportion
लेखाजोखा	Appraisal
मोल	Appraise
मूल्यांकक	Appraiser
मनकामना	Appraising
प्रशंसनीय	Appreciable
सराहना	Appreciate
सम्मान	Appreciation
कृतज्ञ	Appreciative
कृतज्ञ	Appreciatively
पर्नेले	Apprehend
आशंका	Apprehension
आशंकित	Apprehensive
सिकारु	Apprentice
तालिम अवधिको काम	Apprenticeship
दृष्टिकोण	Approach
नजिकिन	Approachable
आउँदै	Approaching
उपयुक्त	Appropriate
उचित	Appropriately
उपयुक्त	Appropriateness
विनियोजन	Appropriation
अनुमोदन	Approval
अनुमोदन	Approve
अनुमानित	Approximate
लगभग	Approximately
सन्निकटन	Approximation
अंगभूत	Appurtenant
खूबानी	Apricot
अप्रिल	April
अप्रिल	Aprilis
एप्रन	Apron
अनुरूप	Apropos
उपयुक्त	Apt
क्यूलेक्स नीग्रीपैलपस	Apterygiformes
योग्यता	Aptitude
यसो भन्नु उपयुक्त	Aptly
लालाभाव	Aptyalia
जलीयकृषि	Aquaculture
कुंभ	Aquarius
जलचर	Aquatic
जलसेतु	Aqueduct
जलीय	Aqueous
जलभृत	Aquifer
अक्वीला	Aquila
गिरफ्तारी	Ar
अरब	Arab
लेना	Araba
अरब	Arabian
अरबी	Arabic
कृषियोग्य	Arable
क्राइसोडीक्सिस	Arachnida
क्राइसोडीक्सिस इन्कलुडेन्स	Aradidae
अरामी	Aramaic
क्राईसोपर्ला	Araneae
अर्बा	Arba
क्राईसोपा	Arbacia
मध्यस्थताको	Arbitral
मनपरी	Arbitrarily
स्वेच्छाचारी	Arbitrary
मध्यस्थता गर्नु	Arbitrate
मध्यस्थता	Arbitration
मध्यस्थले	Arbitrator
कुंज	Arbor
वृक्षवासी	Arboreal
वृक्षानुरूप	Arborescently
कुञ्ज	Arboriculture
आरबूटस	Arbutus
चाप	Arc
क्राईसोप्स	Arca
आर्केड	Arcade
रहस्यमय	Arcane
कट्टर	Arch
पुरातात्विक	Archaeological
पुरातत्त्वविद्	Archaeologist
पुरातत्व	Archaeology
पुरानो	Archaic
प्रधान दूत	Archangel
आर्कबिसप	Archbishop
ठूलो धोकेबाज	Archdeceiver
धनुषाकार	Arched
प्रमुख शत्रु	Archenemy
आर्चर	Archer
तीरंदाजी	Archery
गुम्बज	Arches
ठेठ	Archetypal
आर्चीबाल्ड	Archibald
आर्ची	Archie
आर्किमिडीज	Archimedes
द्वीपसमूह	Archipelago
आर्किटेक्ट	Architect
क्रिप्टोफंलेवीआ	Architectonica
वास्तु	Architectural
वास्तुकला	Architecture
अभिलेख	Archival
सङ्ग्रह	Archive
तोरण पथ	Archway
क्रिप्टोस्पोरीडीयम बेयलेयी	Arcidae
सुमेरुका	Arctic
क्रैनगन	Arctiidae
क्रोसीडोलोमीआ	Arctocephalus
व्यग्रता	Ardent
कठिन	Arduous
हो	Are
क्षेत्र	Area
सुपारी	Areca
मैदान	Arena
क्लुपीआ	Arenicola
अरियोपेग्स महासभाका	Areopagite
अरियोपागसको	Areopagus
अर्गल	Argal
क्लुपीआ हरिन्जस	Argas
क्लेप्सिस स्पेक्ट्राना	Argasidae
चांदी	Argent
अर्जेन्टिना	Argentina
अर्जेन्टिनी	Argentine
अर्जेन्टिना	Argentinean
अर्जेन्टिनेली	Argentinian
क्लैरिआस	Argentinidae
आरजेनतन	Argenton
तर्क	Argue
क्वेनसेलिआ	Argulus
तर्क	Argument
तर्क	Argumentation
झगडालु	Argumentative
अर्गिल	Argyle
अडहर	Arhar
सुक्खा	Arid
मेष	Aries
उचित तरिकाबाट	Aright
उत्पन्न	Arise
उत्पन्न	Arisen
शूकयुक्त	Aristate
अभिजात वर्ग	Aristocracy
कुलीन	Aristocrat
कुलीन	Aristocratic
छीलन हार्वेस्टर	Aristolochiales
अंकगणितीय	Arithmetic
अंकगणितीय	Arithmetical
एरियनहरू	Arius
एरिजोना	Arizona
अर्जुन	Arjun
जहाज	Ark
आर्लस	Arles
हात	Arm
आरमागेडोन	Armageddon
आयुध	Armament
कवच	Armature
कुर्सी	Armchair
सशस्त्र	Armed
आर्मेनियाली	Armenian
भुजाभर	Armful
शस्त्रीकरण	Arming
युद्धविराम	Armistice
हातहतियार	Armor
बख्तरबंद	Armored
शस्त्रागार	Armory
बगल	Armpit
शाखा	Armrest
हतियार	Arms
सेना	Army
आर्नोल्ड	Arnold
सुगन्ध	Aroma
सुगन्धित	Aromatic
हुनलाग्यो	Arose
वरिपरि	Around
उत्तेजना	Arousal
जगाउने	Arouse
व्यवस्था	Arrange
प्रबन्ध	Arrangement
एरे	Array
बकाया	Arrear
पक्रन	Arrest
पीडकलाई	Arrestee
गिरफ्तार	Arresting
अतालता	Arrhythmia
आगमन	Arrival
आइपुग्नु	Arrive
अहङ्कारको	Arrogance
अहंकारपूर्ण	Arrogancy
अहंकारी	Arrogant
अहङ्कारी हुँदै	Arrogantly
हडपना	Arrogate
वाण आकारका	Arrowhead
गधा	Arse
शस्त्रागार	Arsenal
आर्सेनिक	Arsenic
आर्सेनाइड	Arsenide
गधा	Arses
आगजनी	Arson
कला	Art
डायना	Artemis
धमनी	Arterial
धमनीकाठिन्य	Arteriosclerosis
धमनी	Artery
धूर्त	Artful
अज्माएका	Artfully
चलाकी	Artfulness
जोडहरुको दुखाइ	Arthralgia
गठिया	Arthritic
गठिया	Arthritis
संधिसंधान	Arthroplasty
संधिकाठिन्य	Arthrosclerosis
आर्थर	Arthur
अर्थुरियन	Arthurian
आटिचोक	Artichoke
लेख	Article
आर्टिकल्ड	Articled
मुखर	Articulate
मुडने	Articulated
चाहिन्छ	Articulately
एटीएमको	Articulation
हस्तकला	Artifact
कृत्रिम	Artificial
नकलीपन	Artificiality
शिल्प द्वारा बनान	Artificialize
कृत्रिम	Artificially
तोपखाने	Artillery
कालिगढ	Artisan
कलाकार	Artist
कलाकारिता	Artiste
कलात्मक	Artistic
कलात्मक	Artistically
कलाकारिताको	Artistry
जनवरी	Ary
आर्य	Arya
आर्य	Aryan
रूप	As
आसा	Asa
बदले	Asana
आसापले	Asaph
एस्बेस्टोस	Asbestos
चढ्नु	Ascend
आधिपत्य	Ascendancy
उत्कर्षा	Ascendence
आरोही	Ascending
जानुभन्दा	Ascension
आरोहण	Ascent
पक्का	Ascertain
सन्यासी	Ascetic
रहनुपर्थ्यो	Asceticism
डरलाग्दो	Ascribe
